,fasttext-wiki-news-subwords-300,glove-twitter-100,glove-twitter-200,glove-twitter-25,glove-twitter-50,glove-wiki-gigaword-100,glove-wiki-gigaword-200,glove-wiki-gigaword-300,glove-wiki-gigaword-50,word2vec-google-news-300
analogy_score,0.8827876424099353,0.4634131061270517,0.5668462598671845,0.12924445558200726,0.29325899010149103,0.6329672585445961,0.699784460638407,0.7195422354510931,0.463717540798522,0.7401448525607863
word_pair_pearson,0.6064465586230687,0.5217314582488626,0.5269937248489207,0.36409317435051713,0.4691938203172007,0.5483502235031112,0.5777980437315439,0.6040760918229034,0.5066191811403664,0.6238773483165634
word_pair_pearson_p_value,7.884590875549101e-37,1.7697535197708817e-25,4.7502758717065283e-26,2.9690532991079278e-12,2.7469863888689287e-20,4.2351018204638173e-29,7.972694989900628e-33,1.7523047467989067e-36,2.060165117420772e-24,1.7963227018758082e-39
word_pair_spearman,0.5959362724389288,0.5126368044531552,0.5211594592905648,0.36452011505868487,0.460432602938833,0.5327354323238274,0.5775613720052261,0.6085349998820805,0.503319577396603,0.6589215888009288
word_pair_spearman_p_value,2.5867291082202643e-35,1.6290777065032955e-24,2.0389312049979977e-25,2.788781738485533e-12,1.6621434759294624e-19,2.8654146580558905e-27,8.571561605709587e-33,3.879629536780527e-37,4.545752555909452e-24,2.5346056459149263e-45
race_survey_corr,-0.5550722631064499,-0.3457127520738395,-0.3193502116841935,-0.09046197581367024,-0.22558064366759084,-0.1030089886692327,-0.37570570995338587,-0.42585722961048794,-0.04377245658370122,-0.5195302656347128
gender_survey_corr,0.8818990238914648,0.7656190179508259,0.8325683864068443,0.4031893085597351,0.6202988306059432,0.7945584728820866,0.874748084078055,0.8606927637802188,0.7273081002650799,0.8039943813503535
affluence_survey_corr,0.49100052317003573,0.14355957262147714,0.29927850259344224,0.041544181957931886,0.05901937362419027,0.2755091293824068,0.5223477242496182,0.5492542136498478,0.38355016004831827,0.4913786722740576
