capital,attsprts,visitart,makeart,autorace,camping,garden,dance,gomusic,huntfish,perform,dosports,seemovie,usevcr,plymusic,readfict,popmusic,drama,relart,volarts,travelgn,gamegn
educ,13.94847775175644,14.620374600274097,13.61763022323984,12.709016393442623,13.93815987933635,13.212435233160623,14.786975717439294,15.15439672801636,13.032200357781754,14.355704697986576,14.056729699666295,13.85789129011133,13.620653319283456,14.140845070422536,13.855310415597742,14.12400354295837,14.61926192619262,13.858520900321544,14.537777777777778,14.377443609022556,13.659019812304484
prestige,,,,,,,,,,,,,,,,,,,,,
prestg80,45.702308626974485,47.66274694261524,44.3613595706619,40.178423236514526,44.972006220839816,44.086114101184066,48.65068493150685,49.98422712933754,42.55268022181146,46.334117647058825,44.97597254004577,44.99761255115962,43.96536796536797,46.6178947368421,45.27112299465241,45.769160583941606,48.17007434944238,44.579470198675494,45.885844748858446,46.39351851851852,44.33879781420765
rincome,9.968404423380727,10.243313763861709,9.750421585160202,9.638613861386139,9.78989898989899,9.716323296354991,10.396284829721361,10.440353460972018,9.682577565632458,9.807570977917981,9.938686131386861,10.074174581637267,9.700719424460432,9.915328467153286,10.130268199233717,10.353971962616823,10.395140664961637,9.7981220657277,10.024390243902438,10.43305439330544,10.06015037593985
wealth,,,,,,,,,,,,,,,,,,,,,
class,2.543529411764706,2.658704639412035,2.4621125143513205,2.30327868852459,2.4931921331316187,2.5036496350364965,2.6415929203539825,2.74562306900103,2.3716337522441653,2.595936794582393,2.5089285714285716,2.5050903119868635,2.481442205726405,2.5308392315470174,2.5141242937853105,2.5266429840142095,2.6838301716350497,2.5209003215434085,2.591111111111111,2.625942684766214,2.4806687565308256
