index,refined,unrefined
0,elegant,inelegant
1,refined,unrefined
2,cultured,uncultured
3,stylish,unstylish
4,sophisticated,unsophisticated
5,patrician,philistine
6,urbane,parochial
7,cultivated,uncultivated
8,aristocratic,plebian
9,high-brow,low-brow
10,fashionable,unfashionable
11,genteel,boorish
12,decent,vulgar
13,tasteful,tasteless
14,highbrow,lowbrow
