index,high_status,low_status
2,prestigious,unprestigious
3,honorable,dishonorable
4,esteemed,lowly
5,influential,uninfluential
6,reputable,disreputable
7,distinguished,commonplace
8,eminent,mundane
9,illustrious,humble
10,renowned,prosaic
11,acclaimed,modest
12,dignitary,commoner
13,venerable,unpretentious
14,exalted,ordinary
15,estimable,lowly
16,prominent,common
