index,educated,uneducated
0,educated,uneducated
1,informed,uninformed
2,literate,illiterate
3,learned,unschooled
4,scholarly,
5,,ignorant
6,studied,
7,well-educated,uneducated
8,intelligent,unintelligent
9,erudite,
10,knowledgeable,
