OCC1950,EDUC_mean,PRESGL_mean,PRENT_mean,FTOTINC_mean,INCTOT_mean
Accountants and auditors,9.136993791228996,56.699999999999996,,135495.09097236823,46928.680200769784
Actors and actresses,8.075942559027592,55.0,,304765.2903780993,37341.591423295504
Airplane pilots and navigators,9.064516356011511,70.1,,232958.26603761635,91802.3402219267
Architects,9.802238668241547,70.5,,182012.4686438801,59583.551177469366
Artists and art teachers,8.170565020694966,56.2,,356918.2264998694,31608.218940362745
Authors,9.528006589785832,59.800000000000004,,310544.026664226,45133.08512823642
Chemists,10.03718523975355,68.8,,252119.58526989017,52542.35604741495
Chiropractors,10.610690349532653,60.0,,127397.1699576233,73437.40014426112
Clergymen,9.523133956260914,69.0,,668590.7752519324,33815.34713790937
Subject not specified,10.303799455180325,78.3,,355139.3807935443,44506.9337304675
Dancers and dancing teachers,6.366806747212981,37.6,,488062.0813634507,18865.43652600245
Dentists,10.955004122202999,73.6,,188466.96606439925,137808.79488846828
Designers,8.021767097552084,58.2,,190456.93167372348,33802.34008131677
Dietitians and nutritionists,8.665607388210129,52.099999999999994,,157665.37064461721,28446.065140482948
Draftsmen,7.47399519270124,56.1,,398547.55035384995,34718.85404713534
Editors and reporters,9.111307138566907,52.5,,378536.63898735086,44472.23749204385
"Engineers, aeronautical",9.662084569905387,71.09999999999998,,134324.41293112133,67350.5610563102
"Engineers, chemical",9.785679414157851,67.3,,183998.08993761867,68609.60778410632
"Engineers, civil",9.567254447374497,67.8,,202612.45135445354,62581.748976559225
"Engineers, electrical",9.355369898353077,69.4,,169566.99510175383,65226.601016231674
"Engineers, industrial",9.280478900323729,54.4,,164652.25631307968,70895.27131960451
"Engineers, mechanical",9.192755875841929,62.3,,148674.38884021793,60365.03562400892
"Engineers, metallurgical, metallurgists",9.008855963900485,55.8,,107803.55030042712,57486.64834342801
"Engineers, mining",9.526367378945304,61.6,,127265.26579102137,78640.5373848265
Engineers (n.e.c.),9.476064002799506,60.4,,154277.7587490158,64546.581664584235
Entertainers (n.e.c.),8.318110632045011,34.199999999999996,,361064.8638705748,34668.783366524236
Foresters and conservationists,8.688580481387463,53.89999999999999,,120907.4981192907,45498.526709777834
Funeral directors and embalmers,8.067979587701037,52.2,,231072.1877636742,52782.80495937805
Lawyers and judges,10.866052589628811,75.69999999999999,,185994.41608818472,108559.98553621837
Librarians,9.854618346784829,54.599999999999994,,478568.9826537251,32318.177401487577
Musicians and music teachers,8.493811905479129,46.0,,624071.8713475394,25491.88854688368
