OCC1990,EDUC_mean,PRESGL_mean,PRENT_mean,FTOTINC_mean,INCTOT_mean
"Chief executives and general administrators, public administration",9.107835813143756,50.3,,219597.14330409636,143634.28768681677
Financial managers,8.80454449367692,50.3,,136186.1078616756,81690.46701760349
Personnel and labor relations managers,8.687744574884382,56.0,,156441.1306158346,72536.32475196649
"Managers, marketing, advertising, and public relations",9.084208794867989,50.452637617899455,,179196.72648851195,79608.7024677143
"Administrators, education and related fields",9.838385142268185,59.6,,222871.77274414743,65765.30373194443
"Managers, medicine and health",8.983645973676028,61.5,,170180.85308800434,73700.41664580627
"Managers, food serving and lodging establishments",7.175822182609953,50.3,,205090.34883684566,39110.65301137941
"Managers, properties and real estate",7.9418430029763,38.3,,166466.35608926023,62960.47522122337
Funeral directors,8.200617631810292,52.2,,101558.39266956698,55549.972950431664
"Managers, service organizations, n.e.c.",9.075164772716365,50.3,,249546.55309108432,55434.808385601755
"Managers and administrators, n.e.c. ",8.41568018879003,50.3,,179637.7925870761,79382.38264399872
Accountants and auditors,9.494001731528602,56.70000000000001,,133479.71716662796,65145.646114829906
Underwriters,8.567145561669527,46.9,,100769.34195580248,60567.6510553973
Other financial officers,8.965172038694691,50.39606026553603,,147703.00557072787,76203.5713937261
Management analysts,9.562767086813787,54.4,,163604.53514819563,84342.25475086608
"Personnel, training, and labor relations specialists",8.592307795856197,56.0,,159522.02295566778,54383.43700989199
"Purchasing agents and buyers, farm products",6.966354846317113,40.9,,140899.25422529675,46120.09669051175
"Buyers, wholesale and retail trade, except farm products",7.673810942548474,50.0,,139517.53833000854,41110.08512433705
"Purchasing agents and buyers, n.e.c.",8.340852425776713,48.91708270215788,,125516.70466293757,60770.81218379829
Business and promotion agents,8.358776191637435,50.3,,414772.7845016789,54238.40807368362
Construction inspectors,7.459478101886479,31.3,,146109.0376381617,50583.068162552976
"Inspectors and compliance officers, except construction",8.81094177903209,40.6,,139598.47994982754,67711.69637712972
"Management related occupations, n.e.c. ",8.670078342178417,60.60000000000001,,153334.42476103405,56159.607553256326
Architects,9.994837552322105,70.5,,152256.15992625075,68430.33785130556
Aerospace,9.839523978872776,71.1,,238579.4188498571,93527.41901450191
Metallurgical and materials,9.401220679132077,55.79999999999999,,154595.02604287895,77371.11500762924
Petroleum,9.560668570824078,61.6,,192360.75513064634,109351.09089706972
Chemical,9.972382816649215,67.3,,193452.05165323743,92290.47272423787
Civil,9.785499211817426,67.8,,164109.87257419838,80725.91649102299
Electrical and electronic,9.587830275382409,69.40000000000002,,161140.8729340253,83643.3752650241
Industrial,9.365456103808091,54.4,,142920.81803187195,71435.06182042875
Mechanical,9.42424589694266,62.29999999999999,,156698.81708754553,71787.38851143945
"Engineers, n.e.c.",9.688563685636856,60.43982169890664,,150269.29123446406,82587.68677319877
Computer systems analysts and scientists,8.695997576450393,50.60000000000001,,226797.63871683704,61269.4073184155
Operations and systems researchers and analysts,8.762307180273782,50.6,,144781.8070789801,67313.16993769407
Actuaries,10.263884013199466,55.4,,215458.38071333285,123809.16064031454
"Mathematical scientists, n.e.c. ",10.084832797561893,55.4,,233446.58637748926,76470.78086252244
Physicists and astronomers,10.483379059529126,73.8,,388740.23116187076,93699.0391118484
"Chemists, except biochemists",10.200636603645036,68.80000000000001,,159181.44595256346,69598.09200945325
Atmospheric and space scientists,9.942535086749917,68.1,,227329.97237263786,78741.87998673887
Geologists and geodesists,10.307454858017643,67.2,,140637.25270726412,81113.92404602663
"Physical scientists, n.e.c.",10.64324376664246,68.1,,220625.16839990317,70429.687949649
Agricultural and food scientists,9.756384682381366,55.8,,182518.03702975303,51750.35551934369
Biological and life scientists,10.367692723830132,67.7,,128105.43188531241,54556.22407357317
Forestry and conservation scientists,9.679245283018869,53.9,,124429.86430648543,54278.39893149388
Medical scientists ,10.854559819256652,67.7,,145678.44409638722,78994.99527350599
Physicians,10.951193618698902,81.5,,255443.87835340668,188941.02466417552
Dentists,10.965707752784942,73.6,,215685.15298318333,163156.61858393124
Veterinarians,10.894988937246225,59.699999999999996,,139188.05470592526,95734.06822436723
Optometrists,10.93986606532732,62.0,,158818.11414514144,105575.3184638513
Podiatrists,10.988355642616172,36.7,,171476.30155620852,135268.7458918272
"Health diagnosing practitioners, n.e.c. ",10.667584151915356,60.0,,117672.20759576779,74865.9793818338
Registered nurses,9.148858915831957,61.5,,116617.90999391148,57143.18686080148
Pharmacists,10.33314647289239,60.7,,211409.37721517214,91962.41871570819
Dietitians,9.219311362518445,52.1,,117384.24436792918,38827.15620265617
Respiratory therapists,8.39568654634155,36.7,,112869.67859681141,50128.48424571594
Occupational therapists,9.885129159878986,36.642761926925765,,106304.30321619735,52411.769383290666
Physical therapists,9.563638830803274,39.969778818486425,,181320.26378948614,53863.25124995216
Speech therapists,10.836020821903144,36.699999999999996,,120762.84459848252,55906.95628203241
"Therapists, n.e.c.",9.811317195172567,38.42764023867661,,110795.72621723452,43297.85311794225
Physicians' assistants ,9.650655093350803,61.5,,146578.47011955455,66777.89179495578
"Postsecondary teachers, subject n.s. ",10.471773988697231,78.3,,292349.10934293247,55735.55331783941
"Teachers, prekindergarten and kindergarten",8.191150046760953,59.60000000000001,,138709.31990898657,21206.05149294223
"Teachers, elementary school",10.287239615081445,59.6,,114920.48792860177,44131.49595113143
"Teachers, secondary school",10.289510326391099,59.599999999999994,,186123.4432884852,48337.60741707734
"Teachers, special education",10.005153583858693,46.0,,108315.4040939223,43234.17755861319
"Teachers, n.e.c.",7.918190159077437,48.38534998595045,,455915.83866779064,23508.685557706398
"Counselors, educational and vocational ",9.492100935262554,50.60000000000001,,338283.0872029693,38141.67025409429
Librarians,10.046575178521563,54.60000000000001,,262501.1463128815,42180.51270096142
Archivists and curators ,9.641727847641201,50.3,,419692.1139601657,43463.47412226503
Economists,9.52810187345823,56.8,,226097.80507700512,70932.73469897993
Psychologists,10.894635531563123,71.4,,146086.55252738457,68112.08145568203
"Social scientists, n.e.c.",10.031697113165691,65.6,,135166.86896839223,51513.93120133399
Urban planners ,10.259144071137587,50.60000000000001,,107392.6071225196,67193.50124841211
Social workers,9.53024687707401,52.4,,117005.74202649039,40458.98896051412
Recreation workers,7.42977976538717,48.6,,1270728.7542233944,16501.739744365226
Clergy,9.397842222052185,65.65153722549545,,512051.82496441965,40513.9663968169
Lawyers,10.888821179262823,75.70000000000002,,200522.54231076292,138734.06221638166
Authors,9.681373288383222,59.8,,251732.33796966274,50225.54741570835
Technical writers,9.409272297486211,34.2,,149525.18343796863,59578.90601885977
Designers,8.4952789920785,58.2,,176118.22792165048,40656.51782042237
Musicians and composers,8.277048160251207,46.0,,516825.63537987956,33141.25952635071
Actors and directors,8.894186164629398,51.6609796668134,,219465.7979548302,54882.182418819626
"Painters, sculptors, craft-artists, and artist printmakers",8.550225708636527,56.2,,173572.81424239618,37668.002673872164
Photographers,8.051405424300372,40.5,,246473.9642475274,28959.254785845
Dancers,6.533223338833058,37.6,,603755.9647817609,21397.776991150444
"Artists, performers, and related workers, n.e.c.",8.18499620019542,34.2,,319575.9612191373,29646.500522830254
Editors and reporters,9.374910227462065,50.60052226071669,,263129.3057580824,50299.80561444634
Announcers,7.832102526231576,50.599999999999994,,324697.6905597095,39889.709898766116
Athletes ,7.601798979105427,53.199999999999996,,1124597.9009295304,25403.963670354333
Clinical laboratory technologists and technicians,8.584384665020137,61.0,,220015.86807981468,41305.15051163573
Dental hygienists,8.548213218596869,61.0,,116334.16111509502,42294.10182263655
Health record technologists and technicians,7.187463652495489,35.5,,185897.0294955339,30070.700742607478
Radiologic technicians,7.982705140082794,61.0,,138087.06115795524,48537.43161801785
Licensed practical nurses,6.974371422896835,41.9,,95891.25296131244,34635.17278097906
"Health technologists and technicians, n.e.c. ",7.796055160044655,61.0,,175277.61826055526,43864.76207655424
Industrial engineering technicians,7.505562842586328,49.17525508442984,,512934.98945282836,41066.379891476936
Drafting occupations,7.881558868411785,56.1,,162738.4310458974,43720.628294400754
Surveying and mapping technicians,7.745245579420392,53.3,,258845.44745193064,44056.142396302996
Biological technicians,7.663981223039838,48.815275310834814,,355796.46385752346,37852.70665757422
Chemical technicians,7.638809660794947,47.0,,262469.2051756007,45582.453293508464
Science technicians n.e.c.,7.448920431827269,47.0,,240009.02024190323,59605.20291883247
Airplane pilots and navigators,9.282340375029671,70.1,,142348.751720864,98074.98695215091
Air traffic controllers,8.07369996258885,42.8,,114223.71791994014,85098.43332086295
Broadcast equipment operators,7.793689172440417,42.800000000000004,,348777.51490338705,43625.82071235549
Computer programmers,9.583144185591628,50.6,,159717.26860065988,79416.17406210565
"Tool programmers, numerical control",6.611894550653001,47.0,,251854.09304354148,35567.302137093844
Legal assistants,8.319325391873603,35.5,,190728.0006170698,44197.767489472106
"Supervisors and proprietors, sales occupations",7.408776759044142,50.3,,163173.68811317623,49499.04415781613
Insurance sales occupations,8.226567502419398,46.900000000000006,,119012.45294210142,64191.93359097018
Real estate sales occupations,8.307631285208178,44.0,,121171.7476397221,51802.60841879113
