OCC1990,EDUC_mean,PRESGL_mean,PRENT_mean,FTOTINC_mean,INCTOT_mean
Legislators,8.729427792915532,60.6,,235851.12166212534,35324.54720708447
"Chief executives and general administrators, public administration",7.34926209289686,60.60000000000001,,106921.71278063464,31743.968685981854
Financial managers,8.64198656048145,50.29999999999999,,90732.93492900491,43871.39047081715
Personnel and labor relations managers,8.033874933122723,56.0,,176741.36221370156,34857.19509057094
"Managers, marketing, advertising, and public relations",8.660900563159888,50.57288996857518,,154048.54434370933,43859.95800757996
"Administrators, education and related fields",9.34574633044359,59.6,,354358.625760727,32946.61880286679
"Managers, medicine and health",8.314258937250452,61.5,,171826.32858409788,31811.46700255986
Postmasters and mail superintendents,6.923478228115112,58.10000000000001,,101289.35128823263,33275.111307819796
"Managers, food serving and lodging establishments",6.893523548385184,50.29999999999999,,220979.50972767588,22314.012238877
"Managers, properties and real estate",7.4686059356359085,38.3,,124873.71947439849,34044.07748729656
Funeral directors,7.8052664833122725,52.199999999999996,,110370.69908198915,36187.77330335241
"Managers, service organizations, n.e.c.",8.16169585683389,50.29999999999999,,316381.6662355286,27985.108008566218
"Managers and administrators, n.e.c. ",7.960849429818994,51.21986998850147,,126416.93597526032,44199.970158391145
Accountants and auditors,8.958324525196561,56.7,,123987.01769372847,31360.542873286948
Underwriters,8.001998551385572,46.9,,61453.59700351423,28718.148026933497
Other financial officers,8.361152852828727,50.300000000000004,,99810.24573191852,34983.13156740625
Management analysts,9.1858368996103,54.4,,141151.73590025582,46819.40959786741
"Personnel, training, and labor relations specialists",8.090562965365333,56.0,,158797.8848478399,28724.338319752434
"Purchasing agents and buyers, farm products",6.462793860501263,40.9,,133002.10617835633,28517.192490771322
"Buyers, wholesale and retail trade, except farm products",7.3650936083607945,50.0,,117775.6360099126,24509.63753727724
"Purchasing agents and buyers, n.e.c.",7.877188054875085,48.68048842440509,,91818.06083445885,32395.552043161497
Business and promotion agents,7.939075531263252,50.3,,263030.17674221366,28119.51269848749
Construction inspectors,7.101070002933262,31.300000000000004,,186532.62898062772,29246.25807603525
"Inspectors and compliance officers, except construction",7.888652207591015,40.6,,112980.65288536019,29467.594263706
"Management related occupations, n.e.c. ",7.566094768887993,60.6,,176785.97585880704,22652.23748403392
Architects,9.594789386265061,70.5,,133121.41582787017,40979.01023576296
Aerospace,9.526775630369402,71.1,,104109.63699351548,47033.58013019809
Metallurgical and materials,9.240201842053693,55.79999999999999,,194236.77371154222,42061.88158926122
Petroleum,9.537028654991122,61.6,,188812.09487831203,53177.52327565196
Chemical,9.712745762711865,67.3,,151294.2035661017,46525.88226440678
Civil,9.366208734143669,67.79999999999998,,118231.28194007721,43438.43432201872
Electrical and electronic,9.29231302168172,69.4,,109877.43240055814,43906.43782828607
Industrial,8.63056421156902,54.4,,103805.19513692553,37923.43239882783
Mechanical,8.979551880628222,62.3,,102916.1272364388,41710.084268301376
"Engineers, n.e.c.",9.336701798927658,60.8896745990651,,124232.60577737584,43332.4323224755
Computer systems analysts and scientists,9.192634867452062,50.60000000000001,,190431.97801321372,39143.10848110423
Operations and systems researchers and analysts,8.72802076288999,50.6,,98027.91801582805,36526.249783415275
Actuaries,9.872041854097398,55.39999999999999,,140188.73347349893,53640.18570310972
Statisticians,9.249639968981944,55.4,,244221.79245596545,31142.57103688933
"Mathematical scientists, n.e.c. ",10.05679758308157,65.0,,61400.84924471299,40550.843957703924
Physicists and astronomers,10.157730487035623,73.8,,133127.38239102287,47738.157929683606
"Chemists, except biochemists",9.742931604373252,68.8,,178182.32885202137,35392.6253051106
Atmospheric and space scientists,9.2311682921768,47.0,,109449.1329113924,37913.66165179498
Geologists and geodesists,10.205376200640341,67.2,,99066.10750733725,43983.62358257738
"Physical scientists, n.e.c.",9.952947128762965,68.1,,124898.99205666583,35057.6803440425
Agricultural and food scientists,8.843778178539225,55.800000000000004,,265983.269261597,27664.082055906223
Biological and life scientists,10.12826899128269,67.7,,188780.0752032818,29293.792044538863
Forestry and conservation scientists,8.711522182940795,53.9,,301324.6378778071,29379.720709057412
Medical scientists ,10.622053380089616,67.7,,150534.29833106045,36692.3687252419
Physicians,10.892821068395813,81.5,,142498.96479838132,95693.38866283238
Dentists,10.873631504003361,73.59999999999998,,105163.04647634165,76087.71078923412
Veterinarians,10.86867812305897,59.7,,82260.12748216605,52032.76897739464
Optometrists,10.810468841953835,62.0,,99558.8270123586,57012.84120185706
Podiatrists,10.841227779617975,36.7,,135881.85999779176,72510.37650436127
"Health diagnosing practitioners, n.e.c. ",9.94400797850688,60.0,,89390.01978344053,49589.15708703086
Registered nurses,8.744670167817187,61.5,,108042.9068939129,24948.18148162268
Pharmacists,9.81013458629428,60.70000000000001,,187299.73645017098,37225.79564965733
Dietitians,8.167793251350544,52.099999999999994,,127805.44363909475,17577.15136049805
Respiratory therapists,8.094677256070609,36.70000000000001,,112435.59823478249,23466.831962129098
Occupational therapists,9.605838206396932,36.7,,155112.69999289757,23725.577404768104
Physical therapists,9.285590709328455,36.7,,145852.0839978523,28355.263030206614
Speech therapists,10.656949993111999,36.7,,66163.53714010194,25042.660104697617
"Therapists, n.e.c.",9.275397843453522,36.7,,201328.26362447135,20899.88654635051
Physicians' assistants ,7.883383091822617,61.5,,240574.96399184447,22759.343806888515
"Earth, environmental, and marine science teachers",10.333948339483396,78.3,,519214.1537515375,30252.948954489544
Biological science teachers,10.617410387710315,78.3,,326929.44359912217,36246.14820775421
Chemistry teachers,10.424414348462665,78.3,,783117.7611639824,34233.14275256223
Physics teachers,10.521097532856814,78.3,,295176.1030666359,42283.410191376526
Psychology teachers,10.559824995244435,78.30000000000001,,327300.7241772874,35328.4044131634
Economics teachers,10.676724137931034,78.30000000000001,,134115.13747731398,40247.43784029038
History teachers,10.696371610845295,78.30000000000001,,560589.5023923445,34212.26854066986
Sociology teachers,10.38073908174692,78.3,,54764.142217245244,40828.30571108623
Engineering teachers,9.723075186272297,78.29999999999998,,139148.94987581848,35555.18457891172
Mathematical science teachers,10.028745110974977,78.3,,756684.6540219594,24581.440789783705
