OCC1950,EDUC_mean,PRESGL_mean,PRENT_mean,FTOTINC_mean,INCTOT_mean
Accountants and auditors,8.780551362231328,56.7,,117360.89538854144,17326.950165336784
Airplane pilots and navigators,8.445988783223603,70.1,,74215.19044135576,35287.22628627164
Architects,9.633159048743464,70.5,,152526.47529094282,21831.913476134254
Artists and art teachers,8.088777777777779,56.2,,201630.21711111112,10566.522222222222
Authors,9.40167211922937,59.8,,183214.64994547438,14697.173754998183
Chemists,9.747640249332147,68.8,,132404.38682101513,20247.60463045414
Chiropractors,9.818181818181818,60.0,,166961.7920875421,25362.824074074073
Clergymen,9.499967698171716,69.0,,395661.0035532011,12491.785322049229
Agricultural sciences,10.053398058252426,78.3,,269258.2038834951,20314.927184466018
Biological sciences,10.50632911392405,78.3,,567913.9692585896,16830.2712477396
Chemistry,10.361842105263158,78.3,,856236.495614035,16280.328947368422
Economics,10.319298245614036,78.3,,519445.26666666666,20610.315789473683
Engineering,9.75605815831987,78.3,,270634.58804523427,21054.159935379645
Mathematics,9.901202749140893,78.3,,1002129.5369415807,13547.72766323024
Medical sciences,10.269724770642203,78.3,,167428.00489296636,18879.140672782876
Physics,10.551495016611296,78.3,,823244.6212624585,19568.60465116279
Psychology,10.53061224489796,78.3,,268229.68707482994,19261.2074829932
Natural science (n.e.c.),10.215277777777779,78.3,,302663.34027777775,18960.277777777777
Social sciences (n.e.c.),10.462745098039216,78.3,,301719.1816993464,17678.86274509804
Non-scientific subjects,10.205910697076774,78.3,,417332.85030517186,14157.781882428526
Subject not specified,10.388517531269223,78.3,,407757.1060488005,17189.509329505843
Dancers and dancing teachers,6.500567536889898,37.6,,379226.2065834279,7113.337116912599
Dentists,10.714643857838077,73.6,,73750.69385046454,38756.554343017255
Designers,7.567933032839665,58.2,,153364.47451582545,12264.98093020952
Dietitians and nutritionists,7.612229862475442,52.1,,170055.33889980352,9612.750491159135
Draftsmen,7.340732400407485,56.1,,236812.48849927617,13857.44946651654
Editors and reporters,8.868838893198863,52.5,,309362.2160331006,15150.747866563228
"Engineers, aeronautical",9.51712180320763,71.1,,94141.04941482445,27108.899003034243
"Engineers, chemical",9.891060557513617,67.3,,161021.4017942967,26337.82761935277
"Engineers, civil",9.18909879779445,67.8,,111976.67721232939,23840.00632739763
"Engineers, electrical",9.15302677532014,69.4,,114291.7713620489,24303.185389988357
"Engineers, industrial",8.691860802881543,54.4,,95226.72828676,22699.923313774474
"Engineers, mechanical",8.82317229585293,62.3,,147321.40649850364,24602.366395895682
"Engineers, metallurgical, metallurgists",9.165799256505576,55.8,,120114.84609665428,24395.345724907063
"Engineers, mining",9.317982456140351,61.6,,115167.1875,27601.493969298244
Engineers (n.e.c.),9.181501740427647,60.4,,105058.38960716061,25045.301777722525
Entertainers (n.e.c.),8.061327927014698,34.2,,328162.8847778341,13479.60043926339
Foresters and conservationists,7.640748319204911,53.9,,232584.2014030985,14483.858520900321
Funeral directors and embalmers,7.584510055626872,52.2,,104599.32905434318,19231.942661531877
Lawyers and judges,10.662100617828774,75.7,,93076.6321270962,31096.58323036187
Librarians,9.03543179983858,54.6,,537725.2981436643,10371.262308313157
Musicians and music teachers,8.178541775577354,46.0,,429428.69187244383,8962.02773763031
"Nurses, professional",8.617609767551068,61.5,,119269.01195116225,11599.238260154965
Agricultural scientists,8.922861150070126,55.8,,276885.1535764376,15631.588359046284
Biological scientists,10.213877551020408,67.7,,153801.36571428573,19341.948299319727
Geologists and geophysicists,10.143259557344065,67.2,,131827.99195171025,25209.674044265594
Mathematicians,10.282798833819243,65.0,,62293.72886297376,24793.790087463556
Physicists,10.199160167966406,73.8,,176512.9550089982,26582.3875224955
Miscellaneous natural scientists,9.960167714884696,68.1,,133425.73375262055,20291.2893081761
Optometrists,10.21676737160121,62.0,,37989.41087613293,31440.50226586103
Personnel and labor relations workers,7.848528635340539,56.0,,122193.21580015005,17772.76058020952
Pharmacists,10.102851572020473,60.7,,163548.364489398,19138.061784060443
Photographers,7.4995585378774505,40.5,,263652.5106833834,11622.115486491259
Physicians and surgeons,10.83467373820806,81.5,,106073.59009694388,43063.72016693475
Radio operators,6.86156202143951,42.8,,187936.06707503827,15454.441041347627
Recreation and group workers,7.101460615545123,48.6,,1812931.5146061555,4580.5007824726135
Religious workers,8.575,55.5,,1228020.0823333333,7479.951666666667
"Social and welfare workers, except group",8.980793615275603,52.4,,198748.275826061,11667.90445289774
