OCC1990,EDUC_mean,PRESGL_mean,PRENT_mean,FTOTINC_mean,INCTOT_mean
Financial managers,7.573235364972295,50.0475909419417,,42104.82751144303,11673.31365935919
"Managers, marketing, advertising, and public relations",7.225607697501688,50.37390276839973,,73480.67876434841,12371.400236326806
"Administrators, education and related fields",10.147193347193348,63.06008316008316,,598059.5155925156,11689.636174636174
"Managers, medicine and health",7.889182058047494,61.5,,574460.2606860158,10403.087071240105
Postmasters and mail superintendents,6.054054054054054,58.1,,55242.15783783784,8280.486486486487
"Managers, food serving and lodging establishments",5.266626360338573,50.3,,109753.88379685611,7081.541717049577
"Managers, properties and real estate",5.670509977827051,38.29999999999999,,72965.07139689579,6799.778270509978
Funeral directors,7.131067961165049,52.2,,99556.72694174758,11100.182038834952
"Managers and administrators, n.e.c. ",6.60555248970582,50.90933395593667,,179667.75827142675,10914.805365708706
Accountants and auditors,8.026227508386704,56.7,,112472.7440683135,9593.287587679171
"Purchasing agents and buyers, farm products",5.211786372007366,40.9,,140318.1270718232,8716.20626151013
"Buyers, wholesale and retail trade, except farm products",6.482229965156795,50.0,,77362.31660859466,9414.750290360047
"Purchasing agents and buyers, n.e.c.",7.044045676998369,47.9,,76746.07857531267,10457.123436650354
Construction inspectors,5.715536105032823,40.6,,56085.772428884025,8940.371991247264
"Inspectors and compliance officers, except construction",6.325090159711489,40.6,,69186.13549716641,8886.81092220505
Architects,9.392295597484276,70.5,,88061.23506289309,14308.805031446542
Aerospace,9.228831350594822,71.09999999999998,,38351.08257522743,15035.89923023093
Metallurgical and materials,9.16012084592145,55.8,,16374.773413897281,13645.770392749244
Petroleum,9.385593220338983,61.6,,57934.529661016946,13981.14406779661
Chemical,9.918238993710691,67.3,,150856.09613656782,13690.161725067386
Civil,8.761952440550688,67.8,,100530.39198998749,12884.931163954943
Electrical and electronic,8.947129419396692,69.4,,69288.29338306843,13312.38241972105
Industrial,8.327624720774386,54.4,,67675.94415487714,12722.139488706875
Mechanical,8.584508784954219,62.3,,85242.94036129671,13565.429349170998
"Engineers, n.e.c.",8.76923076923077,60.430301613280335,,102324.50619593172,13383.083937339257
Computer systems analysts and scientists,8.575247524752475,50.6,,104467.5900990099,11973.118811881188
Operations and systems researchers and analysts,7.964085297418631,50.6,,48520.64758698092,11654.012345679012
Actuaries,9.22689075630252,55.4,,17616.806722689074,13486.974789915967
Statisticians,8.161120840630472,55.4,,259690.43082311735,8366.112084063046
"Mathematical scientists, n.e.c. ",9.680981595092025,65.0,,200224.52147239263,11444.171779141105
Physicists and astronomers,10.30817610062893,73.8,,184592.1215932914,14448.11320754717
"Chemists, except biochemists",9.355268469923294,68.8,,91370.5817521195,10633.689947517158
Atmospheric and space scientists,8.83206106870229,47.0,,15787.022900763359,12215.267175572519
Geologists and geodesists,10.080898876404495,67.2,,128845.26966292135,13744.38202247191
"Physical scientists, n.e.c.",10.137931034482758,68.1,,17846.55172413793,14656.896551724138
Agricultural and food scientists,8.557993730407523,55.8,,232283.2068965517,9529.467084639498
Biological and life scientists,9.850726552179657,67.65838837516513,,79812.34478203434,8902.575957727873
Forestry and conservation scientists,6.686849574266793,53.9,,387987.0482497635,7006.527909176916
