OCC1990,EDUC_mean,PRESGL_mean,PRENT_mean,FTOTINC_mean,INCTOT_mean
"Chief executives and general administrators, public administration",9.365037068824611,50.3,,282642.62820466014,191903.2727792547
Financial managers,8.947089303942956,50.300000000000004,,183648.19034460463,105058.65506444313
Personnel and labor relations managers,9.296363745222676,56.0,,179951.1252282638,92947.868864319
"Managers, marketing, advertising, and public relations",9.371386008926136,50.458606467701955,,204745.81892172995,99915.2464986347
"Administrators, education and related fields",9.956858858198608,59.6,,219161.04329274132,79725.6290049753
"Managers, medicine and health",9.27819467114973,61.5,,147743.49391561025,85922.33324862429
"Managers, food serving and lodging establishments",7.409564788373044,50.300000000000004,,215299.69611650932,49068.09263616886
"Managers, properties and real estate",8.166043610752423,38.3,,172341.29014307025,78332.69649024632
Funeral directors,8.413825242718447,52.2,,164596.00794174758,70092.98877669903
"Managers, service organizations, n.e.c.",9.244635480573244,50.29999999999999,,255169.94057170153,62477.4844096912
"Managers and administrators, n.e.c. ",8.611051727515408,50.3,,197717.04594950777,98963.40400076343
Accountants and auditors,9.837827587728315,56.7,,158440.6214748852,83954.27990169435
Underwriters,8.777184908817821,46.900000000000006,,268448.2330615128,79093.27261379769
Other financial officers,9.288297774681809,50.3897185007587,,205090.27654268988,114420.28407801603
Management analysts,9.592217566760272,54.4,,186197.7538922326,104867.21930206001
"Personnel, training, and labor relations specialists",8.909075629872092,56.0,,170718.41608752374,69556.1319262566
"Purchasing agents and buyers, farm products",7.3732942773451455,40.900000000000006,,178227.10595127527,63882.611988283206
"Buyers, wholesale and retail trade, except farm products",7.771009335586162,50.0,,168237.32160838327,46588.52409844179
"Purchasing agents and buyers, n.e.c.",8.670257327939822,48.962481516198075,,141555.23395940164,74948.6038526509
Business and promotion agents,8.760844508681096,50.300000000000004,,221183.9490843228,80919.15494246145
Construction inspectors,7.593413678156709,31.3,,131884.26094728743,61097.71763068244
"Inspectors and compliance officers, except construction",9.017949838199685,40.6,,149406.0867279311,80013.42947554977
"Management related occupations, n.e.c. ",9.125362923291172,60.599999999999994,,206233.63437201292,78098.77882353784
Architects,10.168636161705908,70.5,,194244.73285617915,95784.82797110749
Aerospace,10.081146676493386,71.1,,231598.66303035693,112194.95266655654
Metallurgical and materials,9.538951744820066,55.8,,131003.55609323882,87647.62779443839
Petroleum,9.763307845906589,61.6,,214229.12302147763,142062.67057906784
Chemical,10.028017733900088,67.3,,247559.10967137438,110383.08515014398
Civil,9.907120858940432,67.80000000000001,,191449.81538061393,102386.70392052161
Electrical and electronic,9.77631990088007,69.4,,174804.73859292085,111198.69600232584
Industrial,9.459794687762644,54.4,,159315.67559599248,88586.64029669552
Mechanical,9.657626066871217,62.3,,145759.32404073933,93334.55818111078
"Engineers, n.e.c.",9.76614034082337,60.44047110860573,,201451.85623714252,106221.19283501375
Computer systems analysts and scientists,8.820958569725546,50.599999999999994,,217135.09137385603,76704.38644476535
Operations and systems researchers and analysts,8.897072477498815,50.6,,150758.81945185084,75933.90536644786
