OCC1950,EDUC_mean,PRESGL_mean,PRENT_mean,FTOTINC_mean,INCTOT_mean
Accountants and auditors,7.573117140031087,56.7,,2497392.8161721067,3827.796029390985
Actors and actresses,6.447718754039033,55.0,,5012197.5861445,3425.3845159622592
Airplane pilots and navigators,6.8857401266204405,70.09999999999998,,2824903.76529997,5609.37594211637
Architects,8.71324717285945,70.5,,1166538.9135702746,5460.374596122779
Artists and art teachers,7.781339525346039,56.19999999999999,,4382662.658273273,2793.140194807153
Athletes,7.388017118402282,51.4,,5702788.516975749,2678.3880171184023
Authors,8.796849360026256,59.800000000000004,,4235109.242041352,3587.528716770594
Chemists,9.024132183491558,68.8,,2227172.951445757,4102.92412493659
Chiropractors,9.896697713801863,60.0,,903783.7710414903,2597.087214225233
Clergymen,8.684768249149732,69.0,,2637084.1077100374,2055.8577170643957
College presidents and deans,9.74641771602258,78.30000000000001,,5018197.197134173,3178.006947459835
Agricultural sciences,9.19889502762431,78.3,,1405763.693157671,3355.31236719082
Biological sciences,10.461606354810238,78.30000000000001,,6118604.639894087,2873.78640776699
Chemistry,10.17439293598234,78.30000000000001,,3889111.421633554,4027.218543046358
Economics,10.246178176067476,78.3,,3482697.2535582497,3676.5155508697944
Engineering,10.152922590837283,78.3,,1514690.2281200632,4428.609794628752
Geology and geophysics,10.6,78.3,,1730.0,1150.0
Mathematics,10.921773142112125,78.3,,5445634.299217732,2746.5449804432856
Medical sciences,6.172727272727273,78.3,,2146387.383116883,3659.025974025974
Physics,9.123419626730884,78.3,,4469629.715833835,3046.146899458158
Psychology,10.51923076923077,78.3,,5130169.358974359,2740.3846153846152
Statistics,9.663967611336032,78.3,,3050.0,2181.5789473684213
Social sciences (n.e.c.),10.603248862897985,78.3,,4815734.690838207,3282.4106562703055
Non-scientific subjects,10.244050827878322,78.3,,4746868.474316519,2550.4389680400463
Subject not specified,10.264627203511901,78.3,,4736901.049317512,3313.61204472186
Dancers and dancing teachers,6.996762756281794,37.599999999999994,,6168725.666563897,1953.4607676892247
Dentists,9.791846394625338,73.6,,700111.2295682712,5656.164828033744
Designers,6.205989410986102,58.199999999999996,,2694225.4892455325,3861.230972865652
Dietitians and nutritionists,7.706905116741182,52.1,,8610977.926809074,1634.0246729590992
Draftsmen,7.124190907946103,56.1,,3176686.7661251733,3333.7388238257145
Editors and reporters,8.27756755316314,52.5,,3375590.461173586,4110.131642061504
"Engineers, aeronautical",8.73829479768786,71.1,,883127.0147398844,4400.932080924856
"Engineers, chemical",9.300968238168492,67.3,,1764853.3757126052,5107.678038186589
"Engineers, civil",8.254563433204787,67.8,,1611070.6212795412,4389.2753485612575
"Engineers, electrical",7.872532220815019,69.4,,1799489.6140952096,4537.691524497753
"Engineers, industrial",7.755363191569439,54.4,,1210188.2152803915,4475.975410864384
"Engineers, mechanical",7.7335726770277295,62.30000000000001,,2043093.674783882,4546.717724030422
"Engineers, metallurgical, metallurgists",7.512169312169312,55.79999999999999,,462399.2267195767,4394.748677248677
"Engineers, mining",8.285254691689008,61.599999999999994,,2800488.232439678,5113.002680965147
Engineers (n.e.c.),8.150538007636237,60.4,,1231901.0903852829,4739.984484553975
Entertainers (n.e.c.),4.955597248280175,34.2,,4893456.444809256,1627.6500938086303
Farm and home management advisors,9.062080776366491,53.9,,3196444.1504210075,3192.3861852433283
Foresters and conservationists,6.884701185863567,53.900000000000006,,2125837.0602324763,3148.913936832218
Funeral directors and embalmers,6.142972004970397,52.199999999999996,,2139526.0380820115,2995.3841093487317
Lawyers and judges,10.015414669380787,75.69999999999999,,1203889.747931578,5818.7200407118
Librarians,8.39379055783771,54.599999999999994,,5376439.834285884,2170.125617669822
Musicians and music teachers,7.358110693317501,46.0,,5256641.362477736,2119.9656969457087
"Nurses, professional",7.415543793283775,61.5,,7470357.393433329,1971.6965040638486
"Nurses, student professional",6.749224337829452,45.099999999999994,,9704953.583053006,217.20745288872922
Agricultural scientists,7.626666666666667,55.8,,600004.4033333333,3772.6296296296296
Biological scientists,9.4579653254825,67.7,,4664040.881583252,3676.921818776578
Geologists and geophysicists,10.0427254956716,67.2,,2291603.792516057,5253.281206366936
Mathematicians,9.866141732283465,65.0,,4057563.374015748,2925.6889763779527
Physicists,8.852250099561928,73.8,,4164865.234966149,3971.4854639585824
Miscellaneous natural scientists,4.9957081545064375,68.1,,7240385.899856938,3423.533619456366
Optometrists,8.49635761589404,62.0,,1824042.6299668874,3166.523178807947
Osteopaths,9.033075089392133,61.900000000000006,,3528972.8000595947,4395.679380214541
Personnel and labor relations workers,7.525798412405391,56.0,,3192154.1024090825,4024.7946280228907
