OCC1990,EDUC_mean,PRESGL_mean,PRENT_mean,FTOTINC_mean,INCTOT_mean
Legislators,8.391585760517799,60.6,,177425.79449838187,20535.631067961163
"Chief executives and general administrators, public administration",6.9446529080675425,60.6,,203635.94606003753,16563.11210131332
Financial managers,8.359119323405038,50.3,,60028.978580621435,22328.184868542012
Personnel and labor relations managers,7.965286286041003,56.0,,120789.68381932534,20160.412072204526
"Managers, marketing, advertising, and public relations",8.168051624589607,50.40009056945545,,108692.19827918035,23712.636476848184
"Administrators, education and related fields",9.806755082373456,59.6,,313874.7486118122,19446.360194575744
"Managers, medicine and health",8.623636659612567,61.5,,191411.08676542406,19658.19550708123
Postmasters and mail superintendents,6.3258480649785,58.1,,69201.40038222646,17364.424271380794
"Managers, properties and real estate",6.829751790771281,38.3,,99954.29401965684,15120.76045310678
Funeral directors,7.584510055626872,52.2,,104599.32905434318,19231.942661531877
"Managers and administrators, n.e.c. ",7.470592024944998,50.884205151992475,,125521.96453455223,21282.297249414547
Accountants and auditors,8.780551362231328,56.7,,117360.89538854144,17326.950165336784
Underwriters,7.889112903225806,46.9,,26359.949596774193,14823.82560483871
Other financial officers,8.152538641067418,50.3,,67578.98445550223,17954.6765599542
Management analysts,9.190824865511058,54.4,,93677.17124925285,24796.469665271965
"Personnel, training, and labor relations specialists",7.788325471698113,56.0,,122916.91197776281,16541.627779649596
"Purchasing agents and buyers, farm products",6.12129144851658,40.9,,129291.7652705061,17676.474694589877
"Buyers, wholesale and retail trade, except farm products",7.334349379861257,50.0,,80200.68835400463,15453.570527643473
"Purchasing agents and buyers, n.e.c.",7.658220066935319,48.54536575370535,,90191.93183525716,18925.167679803293
Business and promotion agents,7.312396694214876,50.3,,200594.43305785125,16809.297520661155
Construction inspectors,6.632238401625465,31.3,,162397.06027768372,16180.18963765662
"Inspectors and compliance officers, except construction",7.394238227146815,40.6,,89488.4611634349,17050.55290858726
"Management related occupations, n.e.c. ",8.093944538766271,60.6,,158802.28466327107,17304.08885116016
Architects,9.633159048743464,70.5,,152526.47529094282,21831.913476134254
Aerospace,9.51712180320763,71.1,,94141.04941482445,27108.899003034243
Metallurgical and materials,9.165799256505576,55.8,,120114.84609665428,24395.345724907063
Petroleum,9.403846153846153,61.6,,106160.60977564103,28749.38301282051
Chemical,9.891060557513617,67.3,,161021.4017942967,26337.82761935277
Civil,9.18909879779445,67.8,,111976.67721232939,23840.00632739763
Electrical and electronic,9.15302677532014,69.4,,114291.7713620489,24303.185389988357
Industrial,8.374489117004087,54.4,,96212.34141241327,21366.39150270887
Mechanical,8.941861548495295,62.3,,113078.87794652008,24573.234417217926
"Engineers, n.e.c.",9.200346309241326,60.96630539344578,,134074.37792599242,24965.05996280382
Computer systems analysts and scientists,9.061659405190378,50.6,,107975.3810380754,22109.165561659403
Operations and systems researchers and analysts,8.763515067862894,50.6,,78489.0554405337,21606.044398435704
Actuaries,10.04,55.4,,71336.34181818181,26104.536363636365
Statisticians,8.84301322599195,55.4,,264077.6848763657,16812.55319148936
"Mathematical scientists, n.e.c. ",10.282798833819243,65.0,,62293.72886297376,24793.790087463556
Physicists and astronomers,10.260033444816054,73.8,,191562.75585284282,26687.504180602005
"Chemists, except biochemists",9.747640249332147,68.8,,132404.38682101513,20247.60463045414
Atmospheric and space scientists,8.987927565392354,47.0,,229995.43259557345,21119.828973843058
Geologists and geodesists,10.143259557344065,67.2,,131827.99195171025,25209.674044265594
