OCC1950,EDUC_mean,PRESGL_mean,PRENT_mean,FTOTINC_mean,INCTOT_mean
Accountants and auditors,9.494001731528602,56.70000000000001,,133479.71716662796,65145.646114829906
Actors and actresses,8.072747204560404,55.0,,320902.27254257107,28898.83440765914
Airplane pilots and navigators,9.282340375029671,70.1,,142348.751720864,98074.98695215091
Architects,9.994837552322105,70.5,,152256.15992625075,68430.33785130556
Artists and art teachers,8.550225708636527,56.2,,173572.81424239618,37668.002673872164
Authors,9.681373288383222,59.8,,251732.33796966274,50225.54741570835
Chemists,10.200636603645036,68.80000000000001,,159181.44595256346,69598.09200945325
Chiropractors,10.667584151915356,60.0,,117672.20759576779,74865.9793818338
Clergymen,9.642857142857142,69.0,,477298.43253176817,44082.02326953917
Subject not specified,10.471773988697231,78.3,,292349.10934293247,55735.55331783941
Dancers and dancing teachers,6.533223338833058,37.6,,603755.9647817609,21397.776991150444
Dentists,10.965707752784942,73.6,,215685.15298318333,163156.61858393124
Designers,8.4952789920785,58.2,,176118.22792165048,40656.51782042237
Dietitians and nutritionists,9.219311362518445,52.1,,117384.24436792918,38827.15620265617
Draftsmen,7.881558868411785,56.1,,162738.4310458974,43720.628294400754
Editors and reporters,9.519723358186365,52.5,,237216.28693586605,59153.86319264088
"Engineers, aeronautical",9.839523978872776,71.1,,238579.4188498571,93527.41901450191
"Engineers, chemical",9.972382816649215,67.3,,193452.05165323743,92290.47272423787
"Engineers, civil",9.785499211817426,67.8,,164109.87257419838,80725.91649102299
"Engineers, electrical",9.587830275382409,69.40000000000002,,161140.8729340253,83643.3752650241
"Engineers, industrial",9.523810929297223,54.39999999999999,,159520.83879365303,81793.91895508174
"Engineers, mechanical",9.416045769026077,62.3,,156324.76826691293,71904.89424521805
"Engineers, metallurgical, metallurgists",9.401220679132077,55.79999999999999,,154595.02604287895,77371.11500762924
"Engineers, mining",9.560668570824078,61.6,,192360.75513064634,109351.09089706972
Engineers (n.e.c.),9.673436116362314,60.39999999999999,,149144.68393060451,83735.72106042437
Entertainers (n.e.c.),8.56471747570902,34.2,,266833.03959873074,38930.33055046414
Foresters and conservationists,8.79019798136646,53.9,,117801.43416149069,53457.71684782609
Funeral directors and embalmers,8.200617631810292,52.2,,101558.39266956698,55549.972950431664
Lawyers and judges,10.888821179262823,75.70000000000002,,200522.54231076292,138734.06221638166
Librarians,10.046575178521563,54.60000000000001,,262501.1463128815,42180.51270096142
Musicians and music teachers,8.762638673599092,46.0,,559462.6539189067,32909.86088056968
"Nurses, professional",9.137899616422073,61.5,,126260.46166511491,60135.66836311699
Agricultural scientists,9.756384682381366,55.8,,182518.03702975303,51750.35551934369
Biological scientists,10.664465735601011,67.7,,138817.17603224088,69453.03636816803
Geologists and geophysicists,10.307454858017643,67.2,,140637.25270726412,81113.92404602663
Physicists,10.483379059529126,73.8,,388740.23116187076,93699.0391118484
Miscellaneous natural scientists,10.613834015927718,68.1,,220906.5786622387,70778.56260001205
