OCC1950,EDUC_mean,PRESGL_mean,PRENT_mean,FTOTINC_mean,INCTOT_mean
Accountants and auditors,9.837827587728315,56.7,,158440.6214748852,83954.27990169435
Actors and actresses,8.358561402132999,55.0,,235943.34862178483,38700.80105081556
Airplane pilots and navigators,9.248422456006697,70.1,,225149.30200632522,160533.35506894081
Architects,10.168636161705908,70.5,,194244.73285617915,95784.82797110749
Artists and art teachers,8.600547714579232,56.2,,210819.77056352576,46879.84251959783
Authors,9.640760388464944,59.79999999999999,,238407.8851792741,59585.298572656255
Chemists,10.181962355817209,68.8,,139950.1846622777,82136.76891299135
Chiropractors,10.536693207597526,60.0,,145784.42613762734,80802.53743160891
Clergymen,9.680110288902958,69.0,,392518.736770002,52369.77031332704
Subject not specified,10.370331455950803,78.30000000000001,,344418.1683227973,70343.60574092121
Dancers and dancing teachers,7.166879068646024,37.599999999999994,,585933.0368201701,25449.104329556023
Dentists,11.0,73.6,,260745.72244356567,185763.293181357
Designers,8.803834596985888,58.2,,202377.1081513918,53412.16204345277
Dietitians and nutritionists,9.589438483022196,52.1,,117349.77884756726,51126.7791415552
Draftsmen,7.973663838983324,56.1,,199423.13796514316,57400.919964734596
Editors and reporters,9.731540218218726,52.5,,272720.3178641722,72793.48292723071
"Engineers, aeronautical",10.081146676493386,71.1,,231598.66303035693,112194.95266655654
"Engineers, chemical",10.028017733900088,67.3,,247559.10967137438,110383.08515014398
"Engineers, civil",9.907120858940432,67.80000000000001,,191449.81538061393,102386.70392052161
"Engineers, electrical",9.77631990088007,69.4,,174804.73859292085,111198.69600232584
"Engineers, industrial",9.566269390806648,54.400000000000006,,180930.22834898846,101677.05056493686
"Engineers, mechanical",9.654500161439712,62.3,,164360.61132151957,93693.68973408405
"Engineers, metallurgical, metallurgists",9.538951744820066,55.8,,131003.55609323882,87647.62779443839
"Engineers, mining",9.763307845906589,61.6,,214229.12302147763,142062.67057906784
Engineers (n.e.c.),9.73645799923868,60.4,,199160.3771573035,107442.58610070062
Entertainers (n.e.c.),8.68714764713368,34.2,,245244.87745444753,47228.86454852962
Foresters and conservationists,8.97941900972204,53.9,,204428.3843922632,66289.14862914864
Funeral directors and embalmers,8.413825242718447,52.2,,164596.00794174758,70092.98877669903
Lawyers and judges,10.819161574508092,75.7,,258934.1696466705,169473.48856671312
Librarians,9.997801626155304,54.599999999999994,,286296.7574662762,50989.429848002226
Musicians and music teachers,9.042729114286557,46.0,,401538.95506239287,40430.01691661718
"Nurses, professional",9.442684571995278,61.5,,139253.36631725015,73032.3323427205
Agricultural scientists,10.309255324944163,55.79999999999999,,132980.8079206842,80779.808247535
Biological scientists,10.554376307860355,67.7,,177116.4498395282,85316.18730708101
Geologists and geophysicists,10.454021726721056,67.2,,143991.5896337019,92122.46722110495
Physicists,10.792207792207792,73.8,,166091.95181024764,120722.08710903245
Miscellaneous natural scientists,10.662175627303434,68.1,,190538.50267267713,95592.18042021195
Optometrists,11.0,62.0,,194380.43781849302,122707.1603065313
Personnel and labor relations workers,8.998933823550692,56.0,,172860.57984949663,74983.45888245954
Pharmacists,10.586396465436732,60.699999999999996,,186503.02301507315,102855.40239169486
Photographers,8.53955716889569,40.5,,210187.55055744832,44510.69175376396
Physicians and surgeons,11.0,81.5,,337053.2605292175,246317.26553629033
Radio operators,8.078629997374883,42.8,,283256.5554594728,64545.331799441
Recreation and group workers,7.780547874831906,48.60000000000001,,870315.767123664,21897.904350609122
Religious workers,8.893593086874265,55.5,,682849.5848494145,37582.527596257096
"Social and welfare workers, except group",9.462746566808033,52.39999999999999,,175588.209658795,48533.02257340675
Economists,9.580197826370096,56.8,,264301.1963267536,81012.11924212385
Psychologists,10.893982414844995,71.4,,164447.16577474255,85031.37746862433
Statisticians and actuaries,10.049098826278277,55.39999999999999,,264431.42925090203,97583.8248000023
Miscellaneous social scientists,10.062191397302113,65.6,,556569.0541359124,72397.5426317129
Sports instructors and officials,7.770940504523572,53.2,,800862.8822624094,33526.847119982776
Surveyors,7.893148148148148,53.3,,335008.25408249156,59882.171515151516
Teachers (n.e.c.),10.023123742527636,59.600000000000016,,155309.69400147838,53463.309079510924
